county,state,fips,km_to_closest_station,station_id,station_name
Schenectady,New York,36093,9.546627557,74499404741,"SCHENECTADY, NY US"
Schoharie,New York,36095,49.68948149,74499404741,"SCHENECTADY, NY US"
Schuyler,New York,36097,26.1759078,72515614748,"ELMIRA CORNING REGIONAL AIRPORT, NY US"
Seneca,New York,36099,24.43303783,72519454778,"PENN YAN AIRPORT, NY US"
St. Lawrence,New York,36089,37.64266455,72518699999,"OGDENSBURG INTERNATIONAL, NY US"
Steuben,New York,36101,42.31803567,72515614748,"ELMIRA CORNING REGIONAL AIRPORT, NY US"
Suffolk,New York,36103,5.028402405,72501654790,"SHIRLEY BROOKHAVEN AIRPORT, NY US"
Sullivan,New York,36105,2.818128907,72514554746,"MONTICELLO SULLIVAN, NY US"
Tioga,New York,36107,27.22541375,72515004725,"BINGHAMTON GREATER AP, NY US"
Tompkins,New York,36109,3.489824366,72515594761,"ITHACA TOMPKINS CNTY, NY US"
Ulster,New York,36111,31.70687301,99799199999,"HUDSON RIVER RESERVE, NY US"
Warren,New York,36113,31.30374711,72522014750,"GLENS FALLS AIRPORT, NY US"
Washington,New York,36115,14.76497808,72522014750,"GLENS FALLS AIRPORT, NY US"
Wayne,New York,36117,46.10957943,99800999999,"ROCHESTER, NY US"
Westchester,New York,36119,11.97067989,72503794745,"WESTCHESTER CO AIRPORT, NY US"
Wyoming,New York,36121,44.36489629,72498894704,"DANSVILLE MUNICIPAL AIRPORT, NY US"
Yates,New York,36123,4.188163899,72519454778,"PENN YAN AIRPORT, NY US"
Alamance,North Carolina,37001,6.989108004,72317493783,"BURLINGTON ALAMANCE REGIONAL AIRPORT, NC US"
Alexander,North Carolina,37003,26.38013277,72305563816,"STATESVILLE MUNICIPAL AIRPORT, NC US"
Alleghany,North Carolina,37005,26.88319395,72314653892,"JEFFERSON ASHE CO AIRPORT, NC US"
Anson,North Carolina,37007,5.131316184,72529400383,"ANSON CO AIRPORT JEFF CLOUD FIELD, NC US"
Ashe,North Carolina,37009,7.305535881,72314653892,"JEFFERSON ASHE CO AIRPORT, NC US"
Avery,North Carolina,37011,28.09607212,72219863819,"BOONE WATAUGA CO HOSPITAL HELIPORT, NC US"
Beaufort,North Carolina,37013,19.19649037,74692503741,"WARREN FIELD AIRPORT, NC US"
Bertie,North Carolina,37015,31.05837374,72307993796,"AHOSKIE TRI CO AIRPORT, NC US"
Bladen,North Carolina,37017,1.922579634,72027903705,"ELIZABETHTOWN AIRPORT, NC US"
Brunswick,North Carolina,37019,21.80372116,72219103721,"BRUNSWICK CO AIRPORT, NC US"
Buncombe,North Carolina,37021,15.00313179,99999953877,"ASHEVILLE 8 SSW, NC US"
Burke,North Carolina,37023,11.61231167,72314863859,"MORGANTON LENOIR FOOTHILLS REGIONAL AIRPORT, NC US"
Cabarrus,North Carolina,37025,14.08346927,72213263801,"CONCORD REGIONAL AIRPORT, NC US"
Caldwell,North Carolina,37027,15.81044389,72314863859,"MORGANTON LENOIR FOOTHILLS REGIONAL AIRPORT, NC US"
Camden,North Carolina,37029,14.38338582,72307013786,"ELIZABETH CITY COAST GUARD AIR STATION, NC US"
Carteret,North Carolina,37031,11.93276454,72303793765,"BEAUFORT MICHAEL J SMITH FIELD, NC US"
Caswell,North Carolina,37033,20.01795854,72410613728,"DANVILLE REGIONAL AIRPORT, VA US"
Catawba,North Carolina,37035,17.51789657,72301003810,"HICKORY FAA AIRPORT, NC US"
Chatham,North Carolina,37037,19.36553534,72220103723,"SANFORD LEE CO REGIONAL AIRPORT, NC US"
Cherokee,North Carolina,37039,19.30143391,72217763811,"ANDREWS MURPHY AIRPORT, NC US"
Chowan,North Carolina,37041,14.16113284,72307403703,"EDENTON NORTHEAST REGIONAL AIRPORT, NC US"
Clay,North Carolina,37043,18.56122543,72217763811,"ANDREWS MURPHY AIRPORT, NC US"
Cleveland,North Carolina,37045,35.98896038,72314453890,"RUTHERFORD CO MARCHMAN FIELD AIRPORT, NC US"
Columbus,North Carolina,37047,5.578870059,72027493799,"WHITEVILLE COLUMBUS CO MUNICIPAL AIRPORT, NC US"
Craven,North Carolina,37049,7.586591749,72309593719,"NEW BERN ASOS, NC US"
Cumberland,North Carolina,37051,8.000255595,72303593740,"FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD, NC US"
Currituck,North Carolina,37053,1.00994867,72362603737,"CURRITUCK CO AIRPORT, NC US"
Dare,North Carolina,37055,20.89049677,72304613766,"MANTEO AIRPORT, NC US"
Davidson,North Carolina,37057,8.354349485,72207953888,"LEXINGTON DAVIDSON CO AIRPORT, NC US"
Davie,North Carolina,37059,27.2512051,72207953888,"LEXINGTON DAVIDSON CO AIRPORT, NC US"
Duplin,North Carolina,37061,8.359016236,,
Durham,North Carolina,37063,18.15992533,72306013722,"RALEIGH AIRPORT, NC US"
Edgecombe,North Carolina,37065,5.250671262,72086400290,"TARBORO EDGECOMBE AIRPORT, NC US"
Forsyth,North Carolina,37067,3.106379705,72319393807,"WINSTON SALEM REYNOLDS AIRPORT, NC US"
Franklin,North Carolina,37069,7.755579237,72214103731,"LOUISBURG FRANKLIN CO AIRPORT, NC US"
Gaston,North Carolina,37071,11.06361579,72314753870,"GASTONIA MUNICIPAL AIRPORT, NC US"
Gates,North Carolina,37073,27.82211187,72400703719,"SUFFOLK MUNICIPAL AIRPORT, VA US"
Graham,North Carolina,37075,17.50960683,72217763811,"ANDREWS MURPHY AIRPORT, NC US"
Granville,North Carolina,37077,29.79759432,72219303722,"ROXBORO PERSON CO AIRPORT, NC US"
Greene,North Carolina,37079,19.10060243,72306793726,"KINSTON STALLINGS FIELD, NC US"
Guilford,North Carolina,37081,13.99825809,72317013723,"GREENSBORO AIRPORT, NC US"
Halifax,North Carolina,37083,8.213938562,72064900231,"HALIFAX NORTHAMPTON REGIONAL AIRPORT, NC US"
Harnett,North Carolina,37085,12.34577021,74693603712,"ERWIN HARNETT CO AIRPORT, NC US"
Haywood,North Carolina,37087,34.04286685,99999953877,"ASHEVILLE 8 SSW, NC US"
Henderson,North Carolina,37089,11.55337436,99999953878,"ASHEVILLE 13 S, NC US"
Hertford,North Carolina,37091,18.26223568,72307993796,"AHOSKIE TRI CO AIRPORT, NC US"
